age,job,marital,education,default,housing,loan,campaign,contact,month,day_of_week,duration,previous,outcome,btc.spotprice,btc.futures.index,target_variable
33,services,married,high.school,unknown,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
55,management,married,unknown,unknown,yes,no,1,telephone,may,mon,272,0,nonexistent,93.994,-36.4,no
42,blue-collar,married,basic.9y,unknown,no,no,1,telephone,may,mon,208,0,nonexistent,93.994,-36.4,no
50,blue-collar,married,basic.4y,unknown,yes,no,1,telephone,may,mon,193,0,nonexistent,93.994,-36.4,no
51,blue-collar,married,basic.4y,unknown,unknown,unknown,1,telephone,may,mon,212,0,nonexistent,93.994,-36.4,no
38,admin.,married,high.school,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
49,entrepreneur,married,university.degree,unknown,yes,no,1,telephone,may,mon,1042,0,nonexistent,93.994,-36.4,yes
38,technician,single,university.degree,no,no,yes,1,telephone,may,mon,20,0,nonexistent,93.994,-36.4,no
31,admin.,divorced,high.school,no,no,no,1,telephone,may,mon,246,0,nonexistent,93.994,-36.4,no
41,management,married,basic.6y,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
39,admin.,married,university.degree,no,yes,yes,1,telephone,may,mon,192,0,nonexistent,93.994,-36.4,no
49,technician,married,basic.9y,no,no,no,1,telephone,may,mon,1467,0,nonexistent,93.994,-36.4,yes
34,admin.,married,high.school,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
35,admin.,married,university.degree,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
57,unknown,married,unknown,unknown,yes,no,1,telephone,may,mon,48,0,nonexistent,93.994,-36.4,no
60,admin.,married,unknown,unknown,no,yes,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
33,unemployed,married,basic.9y,no,no,no,1,telephone,may,mon,545,0,nonexistent,93.994,-36.4,no
42,blue-collar,married,basic.6y,no,no,yes,1,telephone,may,mon,583,0,nonexistent,93.994,-36.4,no
45,services,married,professional.course,no,yes,no,1,telephone,may,mon,221,0,nonexistent,93.994,-36.4,no
42,management,married,university.degree,no,no,no,1,telephone,may,mon,426,0,nonexistent,93.994,-36.4,no
53,admin.,divorced,university.degree,unknown,no,no,1,telephone,may,mon,287,0,nonexistent,93.994,-36.4,no
37,technician,single,professional.course,no,no,no,1,telephone,may,mon,197,0,nonexistent,93.994,-36.4,no
44,blue-collar,married,basic.6y,no,no,no,1,telephone,may,mon,257,0,nonexistent,93.994,-36.4,no
54,services,married,unknown,no,yes,no,1,telephone,may,mon,229,0,nonexistent,93.994,-36.4,no
49,blue-collar,married,basic.4y,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
54,services,married,unknown,no,no,no,1,telephone,may,mon,400,0,nonexistent,93.994,-36.4,no
52,admin.,divorced,university.degree,no,no,no,1,telephone,may,mon,197,0,nonexistent,93.994,-36.4,no
52,admin.,divorced,university.degree,no,no,no,1,telephone,may,mon,190,0,nonexistent,93.994,-36.4,no
43,services,single,high.school,unknown,no,no,1,telephone,may,mon,21,0,nonexistent,93.994,-36.4,no
34,housemaid,married,basic.6y,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
35,admin.,married,high.school,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
42,entrepreneur,married,unknown,unknown,yes,no,1,telephone,may,mon,293,0,nonexistent,93.994,-36.4,no
43,technician,married,unknown,unknown,yes,yes,1,telephone,may,mon,325,0,nonexistent,93.994,-36.4,no
60,retired,divorced,university.degree,unknown,no,no,1,telephone,may,mon,514,0,nonexistent,93.994,-36.4,no
58,unemployed,married,basic.4y,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
35,services,divorced,high.school,no,yes,no,1,telephone,may,mon,194,0,nonexistent,93.994,-36.4,no
55,blue-collar,married,basic.9y,unknown,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
37,management,married,university.degree,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
36,blue-collar,married,high.school,no,no,no,1,telephone,may,mon,286,0,nonexistent,93.994,-36.4,no
52,admin.,divorced,university.degree,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
57,blue-collar,divorced,unknown,unknown,yes,no,1,telephone,may,mon,518,0,nonexistent,93.994,-36.4,no
56,admin.,married,unknown,no,yes,no,1,telephone,may,mon,364,0,nonexistent,93.994,-36.4,no
48,blue-collar,divorced,basic.4y,unknown,yes,no,1,telephone,may,mon,178,0,nonexistent,93.994,-36.4,no
40,blue-collar,married,high.school,unknown,yes,no,1,telephone,may,mon,98,0,nonexistent,93.994,-36.4,no
49,blue-collar,divorced,high.school,no,no,no,1,telephone,may,mon,439,0,nonexistent,93.994,-36.4,no
41,services,married,high.school,no,no,no,1,telephone,may,mon,139,0,nonexistent,93.994,-36.4,no
45,technician,married,high.school,no,yes,no,1,telephone,may,mon,79,0,nonexistent,93.994,-36.4,no
32,admin.,married,university.degree,no,yes,yes,1,telephone,may,mon,175,0,nonexistent,93.994,-36.4,no
42,admin.,married,university.degree,no,no,yes,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
50,admin.,married,basic.6y,no,no,no,1,telephone,may,mon,61,0,nonexistent,93.994,-36.4,no
31,technician,divorced,professional.course,no,yes,yes,1,telephone,may,mon,78,0,nonexistent,93.994,-36.4,no
56,retired,married,basic.4y,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
41,technician,married,professional.course,unknown,yes,no,1,telephone,may,mon,579,0,nonexistent,93.994,-36.4,yes
37,blue-collar,married,basic.6y,no,yes,yes,1,telephone,may,mon,143,0,nonexistent,93.994,-36.4,no
41,technician,married,professional.course,unknown,no,no,1,telephone,may,mon,677,0,nonexistent,93.994,-36.4,no
35,blue-collar,married,unknown,no,yes,no,1,telephone,may,mon,267,0,nonexistent,93.994,-36.4,no
37,blue-collar,married,basic.6y,no,yes,no,1,telephone,may,mon,345,0,nonexistent,93.994,-36.4,no
52,management,married,university.degree,no,no,no,1,telephone,may,mon,185,0,nonexistent,93.994,-36.4,no
39,management,divorced,university.degree,no,no,no,1,telephone,may,mon,207,0,nonexistent,93.994,-36.4,no
39,housemaid,married,basic.4y,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
56,blue-collar,married,basic.4y,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
34,services,married,high.school,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
45,blue-collar,married,basic.9y,unknown,yes,no,1,telephone,may,mon,461,0,nonexistent,93.994,-36.4,yes
43,unemployed,single,university.degree,no,yes,no,1,telephone,may,mon,240,0,nonexistent,93.994,-36.4,no
56,management,married,unknown,no,yes,no,1,telephone,may,mon,70,0,nonexistent,93.994,-36.4,no
39,management,married,university.degree,no,yes,no,1,telephone,may,mon,193,0,nonexistent,93.994,-36.4,no
53,blue-collar,married,basic.4y,no,yes,no,1,telephone,may,mon,136,0,nonexistent,93.994,-36.4,no
38,unknown,divorced,high.school,unknown,yes,no,1,telephone,may,mon,73,0,nonexistent,93.994,-36.4,no
42,blue-collar,married,basic.4y,unknown,yes,no,1,telephone,may,mon,528,0,nonexistent,93.994,-36.4,no
42,blue-collar,married,basic.4y,unknown,no,no,1,telephone,may,mon,541,0,nonexistent,93.994,-36.4,no
35,admin.,single,high.school,no,yes,no,1,telephone,may,mon,338,0,nonexistent,93.994,-36.4,no
40,admin.,married,university.degree,unknown,yes,no,1,telephone,may,mon,163,0,nonexistent,93.994,-36.4,no
51,blue-collar,married,basic.4y,no,yes,no,1,telephone,may,mon,87,0,nonexistent,93.994,-36.4,no
60,blue-collar,married,basic.9y,unknown,no,no,1,telephone,may,mon,301,0,nonexistent,93.994,-36.4,no
56,entrepreneur,married,unknown,unknown,yes,no,1,telephone,may,mon,46,0,nonexistent,93.994,-36.4,no
39,services,divorced,high.school,unknown,yes,no,1,telephone,may,mon,52,0,nonexistent,93.994,-36.4,no
56,entrepreneur,married,unknown,unknown,no,no,1,telephone,may,mon,204,0,nonexistent,93.994,-36.4,no
40,blue-collar,married,unknown,no,yes,yes,1,telephone,may,mon,155,0,nonexistent,93.994,-36.4,no
36,blue-collar,married,basic.9y,no,yes,yes,1,telephone,may,mon,98,0,nonexistent,93.994,-36.4,no
51,blue-collar,married,unknown,unknown,yes,no,1,telephone,may,mon,71,0,nonexistent,93.994,-36.4,no
51,blue-collar,married,unknown,unknown,no,no,1,telephone,may,mon,243,0,nonexistent,93.994,-36.4,no
43,technician,single,professional.course,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
59,services,married,high.school,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
24,management,single,university.degree,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
37,blue-collar,single,basic.9y,unknown,yes,yes,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
40,blue-collar,married,basic.9y,unknown,no,no,1,telephone,may,mon,46,0,nonexistent,93.994,-36.4,no
42,blue-collar,married,basic.9y,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
39,services,divorced,high.school,unknown,no,no,1,telephone,may,mon,2033,0,nonexistent,93.994,-36.4,no
37,entrepreneur,married,basic.6y,no,no,no,1,telephone,may,mon,85,0,nonexistent,93.994,-36.4,no
38,services,married,high.school,no,yes,yes,1,telephone,may,mon,506,0,nonexistent,93.994,-36.4,no
56,admin.,divorced,unknown,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
40,blue-collar,married,unknown,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
54,management,divorced,university.degree,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
43,blue-collar,married,high.school,unknown,no,yes,1,telephone,may,mon,181,0,nonexistent,93.994,-36.4,no
36,services,married,high.school,unknown,no,no,1,telephone,may,mon,427,0,nonexistent,93.994,-36.4,no
45,technician,married,university.degree,no,yes,yes,1,telephone,may,mon,292,0,nonexistent,93.994,-36.4,no
42,admin.,single,university.degree,unknown,no,no,1,telephone,may,mon,192,0,nonexistent,93.994,-36.4,no
43,services,married,high.school,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
46,management,married,basic.9y,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
44,services,married,high.school,no,yes,yes,1,telephone,may,mon,107,0,nonexistent,93.994,-36.4,no
51,admin.,single,basic.6y,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
28,services,married,high.school,no,yes,no,1,telephone,may,mon,81,0,nonexistent,93.994,-36.4,no
37,blue-collar,married,basic.9y,no,no,no,1,telephone,may,mon,270,0,nonexistent,93.994,-36.4,no
34,technician,married,high.school,no,no,no,1,telephone,may,mon,228,0,nonexistent,93.994,-36.4,no
46,blue-collar,married,basic.6y,unknown,yes,no,1,telephone,may,mon,240,0,nonexistent,93.994,-36.4,no
42,blue-collar,married,basic.9y,no,yes,yes,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,yes
36,admin.,married,university.degree,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
54,blue-collar,married,basic.4y,unknown,no,no,1,telephone,may,mon,102,0,nonexistent,93.994,-36.4,no
57,management,married,university.degree,no,no,no,1,telephone,may,mon,461,0,nonexistent,93.994,-36.4,no
51,technician,married,basic.6y,unknown,no,no,1,telephone,may,mon,250,0,nonexistent,93.994,-36.4,no
54,retired,married,high.school,unknown,no,no,1,telephone,may,mon,130,0,nonexistent,93.994,-36.4,no
49,blue-collar,married,basic.4y,unknown,no,no,1,telephone,may,mon,252,0,nonexistent,93.994,-36.4,no
34,admin.,married,university.degree,no,yes,no,1,telephone,may,mon,138,0,nonexistent,93.994,-36.4,no
41,technician,married,professional.course,no,no,no,1,telephone,may,mon,412,0,nonexistent,93.994,-36.4,no
38,blue-collar,single,basic.9y,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
45,management,divorced,university.degree,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
42,technician,married,university.degree,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
34,blue-collar,single,basic.9y,unknown,yes,no,1,telephone,may,mon,55,0,nonexistent,93.994,-36.4,no
48,blue-collar,married,basic.4y,no,yes,no,1,telephone,may,mon,717,0,nonexistent,93.994,-36.4,no
37,admin.,married,high.school,unknown,yes,no,1,telephone,may,mon,313,0,nonexistent,93.994,-36.4,no
34,blue-collar,single,basic.9y,unknown,no,no,1,telephone,may,mon,289,0,nonexistent,93.994,-36.4,no
40,admin.,married,basic.9y,unknown,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
43,blue-collar,married,basic.6y,no,yes,no,1,telephone,may,mon,1077,0,nonexistent,93.994,-36.4,no
33,services,married,high.school,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
32,services,single,basic.6y,no,no,no,1,telephone,may,mon,167,0,nonexistent,93.994,-36.4,no
39,blue-collar,married,high.school,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
43,admin.,married,unknown,no,no,no,1,telephone,may,mon,277,0,nonexistent,93.994,-36.4,no
44,blue-collar,married,basic.9y,no,yes,no,1,telephone,may,mon,172,0,nonexistent,93.994,-36.4,no
35,student,single,university.degree,unknown,no,no,1,telephone,may,mon,218,0,nonexistent,93.994,-36.4,no
35,student,single,university.degree,unknown,yes,yes,1,telephone,may,mon,217,0,nonexistent,93.994,-36.4,no
35,unemployed,married,professional.course,no,no,no,1,telephone,may,mon,67,0,nonexistent,93.994,-36.4,no
36,services,single,basic.4y,no,no,no,1,telephone,may,mon,291,0,nonexistent,93.994,-36.4,no
35,student,single,university.degree,unknown,yes,no,1,telephone,may,mon,248,0,nonexistent,93.994,-36.4,no
36,student,single,basic.9y,no,yes,no,1,telephone,may,mon,256,0,nonexistent,93.994,-36.4,no
55,housemaid,divorced,university.degree,no,no,no,1,telephone,may,mon,286,0,nonexistent,93.994,-36.4,no
59,admin.,married,university.degree,no,no,no,1,telephone,may,mon,477,0,nonexistent,93.994,-36.4,no
57,retired,married,unknown,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
39,blue-collar,married,professional.course,unknown,yes,no,1,telephone,may,mon,471,0,nonexistent,93.994,-36.4,no
39,housemaid,married,basic.4y,unknown,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
30,blue-collar,single,unknown,no,yes,no,1,telephone,may,mon,251,0,nonexistent,93.994,-36.4,no
30,blue-collar,single,unknown,no,yes,yes,1,telephone,may,mon,408,0,nonexistent,93.994,-36.4,no
50,housemaid,married,basic.4y,unknown,no,no,1,telephone,may,mon,287,0,nonexistent,93.994,-36.4,no
40,services,married,high.school,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
35,admin.,married,high.school,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
43,technician,married,unknown,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
36,services,single,basic.6y,unknown,yes,no,1,telephone,may,mon,210,0,nonexistent,93.994,-36.4,no
46,technician,married,basic.4y,unknown,yes,no,1,telephone,may,mon,288,0,nonexistent,93.994,-36.4,no
40,technician,married,basic.9y,no,no,no,1,telephone,may,mon,168,0,nonexistent,93.994,-36.4,no
58,retired,married,university.degree,no,no,no,1,telephone,may,mon,132,0,nonexistent,93.994,-36.4,no
42,technician,married,university.degree,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
35,admin.,single,university.degree,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
43,retired,married,basic.4y,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
45,blue-collar,married,basic.4y,no,yes,yes,1,telephone,may,mon,177,0,nonexistent,93.994,-36.4,no
39,admin.,married,professional.course,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
50,services,divorced,professional.course,no,yes,no,1,telephone,may,mon,165,0,nonexistent,93.994,-36.4,no
32,management,divorced,basic.4y,unknown,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
39,admin.,married,high.school,unknown,no,no,1,telephone,may,mon,357,0,nonexistent,93.994,-36.4,no
52,self-employed,married,university.degree,unknown,no,no,1,telephone,may,mon,175,0,nonexistent,93.994,-36.4,no
44,admin.,married,professional.course,no,yes,no,1,telephone,may,mon,300,0,nonexistent,93.994,-36.4,no
56,blue-collar,married,basic.4y,no,no,no,1,telephone,may,mon,136,0,nonexistent,93.994,-36.4,no
48,admin.,married,high.school,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
33,services,married,high.school,unknown,no,yes,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
43,management,married,university.degree,unknown,no,yes,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
57,retired,married,high.school,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
36,technician,single,professional.course,no,no,no,1,telephone,may,mon,124,0,nonexistent,93.994,-36.4,no
34,management,married,university.degree,no,yes,no,1,telephone,may,mon,18,0,nonexistent,93.994,-36.4,no
34,services,single,basic.9y,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
30,technician,married,university.degree,unknown,no,no,1,telephone,may,mon,40,0,nonexistent,93.994,-36.4,no
33,services,divorced,unknown,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
32,technician,single,professional.course,no,no,no,1,telephone,may,mon,79,0,nonexistent,93.994,-36.4,no
36,technician,single,high.school,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
36,blue-collar,single,high.school,no,no,yes,1,telephone,may,mon,389,0,nonexistent,93.994,-36.4,no
33,services,single,high.school,no,no,no,1,telephone,may,mon,702,0,nonexistent,93.994,-36.4,no
40,technician,divorced,professional.course,no,no,no,1,telephone,may,mon,151,0,nonexistent,93.994,-36.4,no
41,blue-collar,married,basic.4y,no,yes,no,1,telephone,may,mon,211,0,nonexistent,93.994,-36.4,no
51,services,married,basic.6y,no,yes,no,1,telephone,may,mon,117,0,nonexistent,93.994,-36.4,no
36,technician,married,professional.course,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
28,services,married,unknown,no,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
53,services,married,high.school,no,yes,yes,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
58,blue-collar,married,basic.9y,unknown,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
45,management,married,basic.9y,no,no,yes,1,telephone,may,mon,46,0,nonexistent,93.994,-36.4,no
43,technician,married,unknown,no,yes,no,1,telephone,may,mon,200,0,nonexistent,93.994,-36.4,no
33,admin.,married,high.school,no,no,yes,1,telephone,may,mon,50,0,nonexistent,93.994,-36.4,no
33,admin.,married,high.school,no,no,yes,1,telephone,may,mon,181,0,nonexistent,93.994,-36.4,no
27,blue-collar,single,basic.6y,no,unknown,unknown,1,telephone,may,mon,119,0,nonexistent,93.994,-36.4,no
42,technician,married,high.school,no,no,no,1,telephone,may,mon,361,0,nonexistent,93.994,-36.4,no
